불 켜줘,"led = bundle.leds[0]
while 1:
	led.set_on()
	time.sleep(0.1)"
led 불 켜줘,"led = bundle.leds[0]
while 1:
	led.set_on()
	time.sleep(0.1)"
led 켜줘,"led = bundle.leds[0]
while 1:
	led.set_on()
	time.sleep(0.1)"
불 켜줄래,"led = bundle.leds[0]
while 1:
	led.set_on()
	time.sleep(0.1)"
불 켜주라,"led = bundle.leds[0]
while 1:
	led.set_on()
	time.sleep(0.1)"
불 켜줘봐,"led = bundle.leds[0]
while 1:
	led.set_on()
	time.sleep(0.1)"
불 켜,"led = bundle.leds[0]
while 1:
	led.set_on()
	time.sleep(0.1)"
불 꺼줘,"led = bundle.leds[0]
while 1:
	led.set_off()
	time.sleep(0.1)"
led 불 꺼줘,"led = bundle.leds[0]
while 1:
	led.set_off()
	time.sleep(0.1)"
led 꺼줘,"led = bundle.leds[0]
while 1:
	led.set_off()
	time.sleep(0.1)"
불 꺼줄래,"led = bundle.leds[0]
while 1:
	led.set_off()
	time.sleep(0.1)"
불 꺼주라,"led = bundle.leds[0]
while 1:
	led.set_off()
	time.sleep(0.1)"
불 꺼줘봐,"led = bundle.leds[0]
while 1:
	led.set_off()
	time.sleep(0.1)"
불 꺼,"led = bundle.leds[0]
while 1:
	led.set_off()
	time.sleep(0.1)"
불 빨간색으로 켜줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
불 빨간색으로 해줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
불 빨갛게 해줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
빨간 불 켜줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
불 빨간색으로 켜줄래,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
불 빨간색으로 켜주라,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
불 빨간색으로 켜줘봐,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
불 빨간색으로 켜,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 불 빨간색으로 켜줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 불 빨간색으로 해줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 불 빨갛게 해줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
빨간 led 불 켜줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 빨간색으로 켜줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 빨간색으로 해줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 빨갛게 해줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
빨간 led 켜줘,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 빨간색으로 켜주라,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 빨간색으로 켜줘봐,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
led 빨간색으로 켜,"led = bundle.leds[0]
while 1:
	led.set_red(255)
	time.sleep(0.1)"
불 파란색으로 켜줘,"led = bundle.leds[0]
while 1:
	led.set_blue(255)
	time.sleep(0.1)"
불 파란색으로 해줘,"led = bundle.leds[0]
while 1:
	led.set_blue(255)
	time.sleep(0.1)"
불 파랗게 해줘,"led = bundle.leds[0]
while 1:
	led.set_blue(255)
	time.sleep(0.1)"
파란 불 켜줘,"led = bundle.leds[0]
while 1:
	led.set_blue(255)
	time.sleep(0.1)"
불 파란색으로 켜줄래,"led = bundle.leds[0]
while 1:
	led.set_blue(255)
	time.sleep(0.1)"
